Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Астраханская  область;ЮФО;2021;      другое;7; 353 010 ; 51 940 ; -   ; -   ; 8 282 ; 61 ;;;
Астраханская  область;ЮФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 869 524 ; 208 000 ; 3 ; 869 524 ; 1 271 ; 47 ;;;
Астраханская  область;ЮФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ; 187 000 ; -   ; -   ; 3 896 ; 38 ;;;
Астраханская  область;ЮФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 24 001 ; 10 000 ; -   ; -   ; 19 ;;;;
Астраханская  область;ЮФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 10 574 700 ; 9 000 ; -   ; -   ; 770 ; 22 ;;;
Астраханская  область;ЮФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 75 000 ; 89 488 ; -   ; -   ; 2 634 ; 47 ;;;
Астраханская  область;ЮФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 5 556 009 ; 1 298 370 ; 2 ; 781 009 ; 177 625 ; 144 ;;;
Астраханская  область;ЮФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 433 759 ; 1 799 900 ; 1 ; 433 759 ; 5 512 ; 46 ;;;
Астраханская  область;ЮФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ; 445 538 ; -   ; -   ; 13 954 ;;;;
Астраханская  область;ЮФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; 69 500 ; -   ; -   ; 27 270 ; 44 ;;;
Астраханская  область;ЮФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 3 204 000 ; 2 594 132 ; 2 ; 471 267 ; 83 409 ; 486 ;;;
Астраханская  область;ЮФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 74 000 ; 670 462 ; -   ; -   ; 8 963 ; 109 ;;;
Астраханская  область;ЮФО;2021;      поисковых отрядов и объединений;19; 21 500 ; 961 260 ; -   ; -   ; 3 383 ; 138 ;;;
Астраханская  область;ЮФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 1 500 ; -   ; -   ; 1 717 ; 48 ;;;
Астраханская  область;ЮФО;2021;      молодeжных казачьих объединений;21; 360 000 ; 380 226 ; -   ; -   ; 5 014 ; 24 ;;;
Астраханская  область;ЮФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; -   ; 302 050 ; -   ; -   ; 4 601 ; 100 ;;;
Астраханская  область;ЮФО;2021;      другие;23; 2 748 500 ; 278 634 ; 2 ; 471 267 ; 59 731 ; 67 ;;;
Астраханская  область;ЮФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 237 476 ; 474 110 ; 1 ; 170 000 ; 61 607 ; 119 ;;;
Астраханская  область;ЮФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 410 410 ; 145 200 ; 1 ; 410 410 ; 57 292 ; 250 ;;;
Астраханская  область;ЮФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 768 250 ; 8 811 870 ; 2 ; 688 265 ; 122 776 ; 211 ;;;
Астраханская  область;ЮФО;2021;Развитие молодeжного самоуправления;27; -   ; 2 500 ; -   ; -   ; 4 296 ;;;;
